iso3,quarter_t,gdp_current_usd,gdp_ppp_current_usd,total_exports_usd_k,total_imports_usd_k,population,exchange_rate,tariff_ahs_weighted,tariff_mfn_weighted
KHM,2009Q2,2569.299699485804,9090.720650550618,1642037.3997886553,1197381.2455301173,14.248784144606859,4129.990664633981,7.686523437500001,15.423983173076923
KHM,2009Q3,2596.1074595047685,9158.112329071708,1701758.442896083,1218795.0499649085,14.304785579540999,4146.975155617582,7.65,15.412578125
KHM,2009Q4,2658.433945533172,9323.610397970479,1927038.5883187652,1286148.0639046654,14.360826417543738,4162.454904466068,7.65,15.428984375
KHM,2010Q1,2714.4335199993366,9499.961711215263,2228365.472711824,1347438.8866109997,14.416883164642476,4175.713046865891,7.65,15.451015625
KHM,2010Q2,2759.4753769484014,9634.371586979658,2485305.4635511823,1396741.0794754475,14.472831425479233,4183.769888337333,7.65,15.467421875
KHM,2010Q3,2833.0897509745337,9787.695830382232,2727154.1079196706,1483092.8239322267,14.52855188131546,4180.064926528144,7.6117578125000005,15.463278301886792
KHM,2010Q4,2935.276642077726,9959.93444142284,2953911.4058173224,1606494.1199813262,14.584044548680549,4148.647667379587,7.3683984375,15.417146226415094
KHM,2011Q1,3061.0209792477763,10138.974532492663,3338136.9444593713,1782988.7085807063,14.639430208827969,4104.715730327436,7.0416015624999995,15.344410377358491
KHM,2011Q2,3174.935800424624,10315.161616331869,3743681.4448230863,1951918.944097869,14.694835005521849,4067.993547975133,6.7982421875,15.265448113207547
KHM,2011Q3,3264.3426955884133,10495.78133691958,3929910.6801818535,2066912.2627585754,14.750348041723672,4053.471011922132,6.987734375,15.192403449292454
KHM,2011Q4,3329.24166473918,10680.833694255882,3896824.650535688,2127968.664562851,14.805860378375394,4045.039699370611,8.436953125,15.099769310141511
KHM,2012Q1,3397.1580413658958,10872.915489946026,3729259.0900800824,2191446.21349819,14.861428310200056,4038.7129446223666,10.383046875000002,15.008674086084905
KHM,2012Q2,3479.6118291329476,11069.634385569778,3705164.48525586,2287219.234317489,14.917143746278201,4034.4135552745906,11.832265625000002,14.948870135613207
KHM,2012Q3,3554.837696383518,11267.1974103119,3878680.345087886,2373866.825409651,14.973089794934419,4031.8548515625002,11.8664583134542,14.96234375
KHM,2012Q4,3622.835643117636,11465.604564172274,4249806.6695761755,2451388.986774668,15.02925002839895,4029.8060546875004,10.607276657919847,15.10453125
KHM,2013Q1,3688.210517580723,11673.681356637564,4928337.732906416,2522393.2096913233,15.085565639081286,4028.2445703125004,8.827856929866414,15.295468750000001
KHM,2013Q2,3761.591502988653,11887.876734420774,5492325.882304922,2607620.8936040774,15.141980449889688,4027.3687734375003,7.2992706941793895,15.43765625
KHM,2013Q3,3843.688342703972,12097.589661391568,5621003.017199278,2714835.246956371,15.198459358922998,4027.481089650849,6.605299618320611,15.4389453125
KHM,2013Q4,3934.5010367266514,12302.820137550065,5314369.13758938,2844036.269748226,15.255066783643146,4029.147406684028,6.123979007633588,15.3049609375
KHM,2014Q1,4036.8261053828173,12516.672721348586,4869865.840334073,3005482.0998007953,15.311752655308437,4032.0139069733796,5.750887404580153,15.1250390625
KHM,2014Q2,4137.115077130933,12739.487105222594,4677079.1392737925,3162717.4162106737,15.368445179254406,4035.594190055941,5.5389713740458015,14.991054687500002
KHM,2014Q3,4225.797195874053,12958.328576937027,4633360.444469839,3287256.420704931,15.425064572967877,4040.265184944059,5.542656249999999,14.9824609375
KHM,2014Q4,4302.872461612191,13173.19713649177,4738709.755922303,3379099.113283597,15.4815731937991,4049.3142180266204,5.75046875,15.0617578125
KHM,2015Q1,4370.365600371326,13395.324176266324,4922082.37756376,3459955.510858506,15.538101016952748,4059.524468315972,6.02953125,15.168242187499999
KHM,2015Q2,4450.564381305914,13626.83716656128,5014983.574705601,3568378.78166309,15.594795125382985,4066.659535349151,6.237343749999999,15.2475390625
KHM,2015Q3,4552.5879629673145,13857.56845014746,5004210.676070929,3701935.4929023087,15.651859132227017,4067.4779206072985,6.2476562499999995,15.1933984375
KHM,2015Q4,4676.43634535544,14087.518027024926,4889763.681659713,3860625.6445761025,15.709508699379414,4065.637084306294,6.10546875,14.769570312499999
KHM,2016Q1,4810.7088286410435,14324.499863211648,4660877.070868075,4085086.7280845344,15.767255901129504,4062.8135642969482,5.91453125,14.200429687500002
KHM,2016Q2,4940.27489927673,14570.125832958613,4519540.060584873,4294454.450416371,15.824526214677144,4059.9028241542146,5.77234375,13.776601562500002
KHM,2016Q3,5068.970000317786,14817.387907373544,4577512.779858381,4407659.173665911,15.880934330552027,4057.526759857504,5.7638671875,13.726238644622095
KHM,2016Q4,5196.794131764444,15066.28608645621,4834795.228688657,4424700.897833183,15.937054108379447,4054.8732774257082,5.8572265625,13.834882358284885
KHM,2017Q1,5331.367580055754,15317.661672637973,5086840.451057076,4391821.123980209,15.992533722718838,4052.39521777105,5.9990234375,13.997824763808142
KHM,2017Q2,5473.296808303305,15579.068970176275,5274814.10047245,4419849.646410942,16.046833590627173,4050.8116391809826,6.142382812500001,14.158358012354652
KHM,2017Q3,5615.264761623752,15853.443828769494,5573845.959707677,4517959.861215383,16.099364652715483,4050.5900477345467,6.253749999999999,14.274766987645348
KHM,2017Q4,5757.271440017183,16140.78624841629,5983936.028762788,4686151.768393472,16.149916125108955,4050.668249957353,6.3725,14.391550236191861
KHM,2018Q1,5909.815899752604,16446.98191100941,6646083.720101863,4824479.396693438,16.199497851541867,4050.8187979549634,6.48125,14.495742641715117
KHM,2018Q2,6069.051610349561,16755.222622257425,7253258.86860621,4954887.398382023,16.249238669721564,4051.035580651201,6.55,14.560636355377907
KHM,2018Q3,6222.556250298454,17051.218603124027,7510946.97925207,5188294.070844278,16.29986163169239,4051.494439601033,6.5174609375,14.54630824704142
KHM,2018Q4,6370.32981959937,17334.969853609102,7419148.052039862,5524699.414080262,16.350139860672858,4053.1538983401983,6.2467578125,14.384749445266273
KHM,2019Q1,6615.868168027693,17795.712738779723,7348692.2954339385,6081387.996680856,16.40099829629059,4055.865035421041,5.8832421875000005,14.133124075443787
