Country,Year,"GDP (nominal, 2023)",GDP (abbrev.),GDP Growth,Population 2023,GDP per capita,Share of World GDP
Ukraine,2023,"$178,757,000,000",178.757 billion,5.32%,37732836,"$4,737",0.17%
Kuwait,2023,"$163,705,000,000",163.705 billion,âˆ’3.64%,4838782,"$33,832",0.15%
Ethiopia,2023,"$163,698,000,000",163.698 billion,6.50%,128691692,"$1,272",0.15%
Morocco,2023,"$144,417,000,000",144.417 billion,3.40%,37712505,"$3,829",0.14%
Slovakia,2023,"$132,908,000,000",132.908 billion,1.38%,5518055,"$24,086",0.13%
Dominican Republic,2023,"$121,444,000,000",121.444 billion,2.36%,11331265,"$10,718",0.11%
Ecuador,2023,"$118,845,000,000",118.845 billion,2.36%,17980083,"$6,610",0.11%
Sudan,2023,"$109,266,000,000",109.266 billion,âˆ’20.11%,50042791,"$2,183",0.10%
Oman,2023,"$108,811,000,000",108.811 billion,1.31%,5049269,"$21,550",0.10%
Kenya,2023,"$108,039,000,000",108.039 billion,5.56%,55339003,"$1,952",0.10%
Guatemala,2023,"$104,450,000,000",104.45 billion,3.53%,18124838,"$5,763",0.10%
Bulgaria,2023,"$102,408,000,000",102.408 billion,1.89%,6795803,"$15,069",0.10%
Uzbekistan,2023,"$101,592,000,000",101.592 billion,6.29%,35652307,"$2,850",0.10%
Costa Rica,2023,"$86,497,941,439",86.498 billion,5.11%,5105525,"$16,942",0.08%
Luxembourg,2023,"$85,755,006,124",85.755 billion,âˆ’1.1%,665098,"$128,936",0.08%
Angola,2023,"$84,824,654,482",84.825 billion,1%,36749906,"$2,308",0.08%
Croatia,2023,"$84,393,795,502",84.394 billion,3.30%,3896023,"$21,662",0.08%
Sri Lanka,2023,"$84,356,863,744",84.357 billion,âˆ’2.3%,22971617,"$3,672",0.08%
Panama,2023,"$83,318,176,900",83.318 billion,7.40%,4458759,"$18,686",0.08%
Serbia,2023,"$81,342,660,752",81.343 billion,3.85%,6773201,"$12,009",0.08%
Lithuania,2023,"$79,789,877,416",79.79 billion,0.34%,2854099,"$27,956",0.08%
Tanzania,2023,"$79,062,403,821",79.062 billion,5.07%,66617606,"$1,187",0.07%
CÃ´te d'Ivoire,2023,"$78,875,489,245",78.875 billion,6.20%,31165654,"$2,531",0.07%
Uruguay,2023,"$77,240,830,877",77.241 billion,0.37%,3388081,"$22,798",0.07%
Ghana,2023,"$76,370,396,722",76.37 billion,2.94%,33787914,"$2,260",0.07%
Azerbaijan,2023,"$72,356,176,471",72.356 billion,1.12%,10318207,"$7,012",0.07%
Belarus,2023,"$71,857,382,746",71.857 billion,3.89%,9115680,"$7,883",0.07%
Slovenia,2023,"$69,148,468,417",69.148 billion,2.11%,2118396,"$32,642",0.07%
Myanmar,2023,"$66,757,619,000",66.758 billion,0.96%,54133798,"$1,233",0.06%
DR Congo,2023,"$66,383,287,003",66.383 billion,8.56%,105789731,$628,0.06%
Turkmenistan,2023,"$60,628,857,143",60.629 billion,6.30%,7364438,"$8,233",0.06%
Jordan,2023,"$50,967,475,352",50.967 billion,2.68%,11439213,"$4,456",0.05%
Cameroon,2023,"$49,279,410,983",49.279 billion,3.25%,28372687,"$1,737",0.05%
Uganda,2023,"$48,768,955,863",48.769 billion,5.34%,48656601,"$1,002",0.05%
Tunisia,2023,"$48,529,595,417",48.53 billion,0.04%,12200431,"$3,978",0.05%
Bahrain,2023,"$46,079,867,021",46.08 billion,2.98%,1569666,"$29,356",0.04%
Macao,2023,"$45,803,067,940",45.803 billion,75.06%,713912,"$64,158",0.04%
Bolivia,2023,"$45,135,398,009",45.135 billion,3.08%,12244159,"$3,686",0.04%
Libya,2023,"$45,096,462,972",45.096 billion,10.16%,7305659,"$6,173",0.04%
Paraguay,2023,"$42,956,263,544",42.956 billion,4.71%,6844146,"$6,276",0.04%
Cambodia,2023,"$42,335,646,896",42.336 billion,4.96%,17423880,"$2,430",0.04%
Latvia,2023,"$42,247,850,065",42.248 billion,1.71%,1882396,"$22,444",0.04%
Estonia,2023,"$41,291,245,222",41.291 billion,âˆ’3.02%,1367196,"$30,201",0.04%
Nepal,2023,"$40,908,073,367",40.908 billion,1.95%,29694614,"$1,378",0.04%
Zimbabwe,2023,"$35,231,367,886",35.231 billion,5.34%,16340822,"$2,156",0.03%
Honduras,2023,"$34,400,509,852",34.401 billion,3.58%,10644851,"$3,232",0.03%
El Salvador,2023,"$34,015,620,000",34.016 billion,3.51%,6309624,"$5,391",0.03%
Cyprus,2023,"$33,886,930,712",33.887 billion,2.61%,1344976,"$25,195",0.03%
Iceland,2023,"$31,325,116,556",31.325 billion,5.04%,387558,"$80,827",0.03%
Senegal,2023,"$30,848,333,084",30.848 billion,4.58%,18077573,"$1,706",0.03%
Georgia,2023,"$30,777,833,585",30.778 billion,7.83%,3807492,"$8,083",0.03%
Papua New Guinea,2023,"$30,729,242,919",30.729 billion,3.04%,10389635,"$2,958",0.03%
Zambia,2023,"$27,577,956,471",27.578 billion,5.37%,20723965,"$1,331",0.03%
Bosnia and Herzegovina,2023,"$27,514,782,476",27.515 billion,2.21%,3185073,"$8,639",0.03%
Trinidad and Tobago,2023,"$27,372,285,698",27.372 billion,1.35%,1502932,"$18,213",0.03%
Armenia,2023,"$24,085,749,592",24.086 billion,8.30%,2943393,"$8,183",0.02%
Albania,2023,"$23,547,179,830",23.547 billion,3.94%,2811655,"$8,375",0.02%
Malta,2023,"$22,328,640,242",22.329 billion,7.50%,532956,"$41,896",0.02%
